Common Date,Brazil,Indonesia,Mexico,India,China
05-06-2023,112696,6633.437012,53536.05078,18593.84961,3232.439941
06-06-2023,114610,6618.922852,54432.19141,18599,3195.340088
07-06-2023,115488,6619.754883,54291.44141,18726.40039,3197.76001
09-06-2023,117019,6694.023926,54512.14063,18563.40039,3231.409912
12-06-2023,117336,6722.373047,54278.12109,18601.5,3228.830078
13-06-2023,116743,6719.01416,54574.75,18716.15039,3233.669922
14-06-2023,119069,6699.716797,55145.42969,18755.90039,3228.98999
15-06-2023,119221,6713.794922,55344.25,18688.09961,3252.97998
16-06-2023,118758,6698.546875,54842.51172,18826,3273.330078
19-06-2023,119858,6686.059082,54931.05859,18755.44922,3255.810059
20-06-2023,119622,6660.455078,54365.67969,18816.69922,3240.360107
21-06-2023,120420,6702.625,54063.91016,18856.84961,3197.899902
26-06-2023,118243,6664.667969,53335.73828,18691.19922,3150.620117
27-06-2023,117523,6661.878906,53926.91016,18817.40039,3189.439941
03-07-2023,119673,6696.71582,54399.10156,19322.55078,3243.97998
04-07-2023,119076,6681.753906,53930.85938,19389,3245.350098
05-07-2023,119549,6718.977051,54039.66016,19398.5,3222.949951
06-07-2023,117426,6757.331055,53407.69922,19497.30078,3205.570068
07-07-2023,118898,6716.458984,53904.28906,19331.80078,3196.610107
10-07-2023,117942,6731.038086,53655.35156,19355.90039,3203.699951
11-07-2023,117220,6796.923828,54138.14063,19439.40039,3221.370117
12-07-2023,117666,6808.208984,53956.71094,19384.30078,3196.129883
13-07-2023,119264,6810.212891,54244.01172,19413.75,3236.47998
14-07-2023,117711,6869.571777,53770.80078,19564.5,3237.699951
17-07-2023,118219,6867.144043,53623.26953,19711.44922,3209.629883
18-07-2023,117841,6830.203125,54036.26953,19749.25,3197.820068
20-07-2023,118083,6864.188965,53561.37109,19979.15039,3169.52002
21-07-2023,120217,6880.801758,53702.16016,19745,3167.75
24-07-2023,121342,6899.395996,53518.91016,19672.34961,3164.159912
25-07-2023,122008,6917.710938,54013.57813,19680.59961,3231.52002
26-07-2023,122560,6948.278809,54502.08984,19778.30078,3223.030029
27-07-2023,119990,6896.663086,54753.39063,19659.90039,3216.669922
28-07-2023,120187,6900.22998,54945.26953,19646.05078,3275.929932
31-07-2023,121943,6931.358887,54819.05078,19753.80078,3291.040039
